query,candidate_name_match,candidate_office,candidate_url
Ameya Pawar,Ameya Pawar,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=24270
Anthony Beale,Anthony Beale,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14117
Anthony Beale,Anthony Beale,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14783
Anthony Beale,Anthony A Beale,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=26614
Ariel Reboyras,Ariel E Reboyras,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=17895
Ariel Reboyras,Ariel E Reboyras,Ward Committeeman/Chciago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22242
Bob Fioretti,Bob Fioretti,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22392
Bob Fioretti,Bob Fioretti,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=25571
Brendan Reilly,Brendan Reilly,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=20516
Brendan Reilly,Brendan Reilly,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=22276
Carrie Austin,Carrie M Austin,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=9448
Carrie Austin,Carrie M Austin,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=10472
Carrie Austin,Carrie Austin,State Central Committeeman/2nd District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=17575
Daniel Solis,Daniel S Solis,Alderman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=10981
Daniel Solis,Daniel S Solis,Ward Committeeman/Chicago,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=14815
Deb Mell,Deb Mell,State Representative 40th District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=21906
Deborah Graham,Deborah L Graham,State Representative 78th District,http://www.elections.state.il.us/CampaignDisclosure/CandidateDetail.aspx?ID=17271
