name,committee,url,current_funds,invest_total,total_assets
Joseph A Moore,Citizens for Joe Moore,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=6380,44594.95,0.0,44594.95
Edward M Burke,Friends of Edward M Burke,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4410,4902609.12,3304785.96,8207395.08
Edward M Burke,14th Ward Regular Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=499,850848.17,0.0,850848.17
Edward M Burke,The Burnham Committee,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16891,1034434.33,0.0,1034434.33
"Regner ""Ray"" Suarez",Friends of Suarez,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14968,399950.24,850000.0,1249950.24
Patrick J O'Connor,Citizens for Patrick O'Connor,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4353,128286.87,0.0,128286.87
Ricardo Munoz,Citizens for Munoz,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9487,11088.9,0.0,11088.9
Ricardo Munoz,22nd Ward Democratic Committeeman Fund,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11832,612.97,0.0,612.97
Margaret Laurino,Friends of Margaret Laurino,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=9808,121904.04,0.0,121904.04
Margaret Laurino,39th Ward Regular Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11463,,,
"Walter Burnett, Jr","Friends of Walter Burnett, Jr",http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=10591,244172.3,0.0,244172.3
"Walter Burnett, Jr",27th Ward Reg Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12214,52104.92,0.0,52104.92
Michael Chandler,Citizens for Chandler for Committeeman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=24464,5203.65,0.0,5203.65
Michael R Zalewski,Friends of Mike Zalewski,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=14156,94704.79,0.0,94704.79
Michael R Zalewski,23rd Ward Regular Democratic Organization,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19167,73729.21,0.0,73729.21
Carrie M Austin,Citizens For Frost,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=4510,223581.19,0.0,223581.19
Carrie M Austin,34th Ward Regular Democratic Org,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=197,522.22,0.0,522.22
Carrie M Austin,Citizens for Carrie M Austin-Alderman 34th Ward,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11884,39388.6,0.0,39388.6
Carrie M Austin,Friends of Carrie Austin 34th Ward Committeeman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=11885,29645.76,0.0,29645.76
Daniel S Solis,25th Ward Regular Democratic Organization,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15421,109782.31,0.0,109782.31
