person_name,person_id,officer_name,officer_id,candidate_name,candidate_id
"(u'Ameya Pawar',)","(45,)",,,Ameya Pawar,24270
"(u'Ameya Pawar',)","(45,)",Ameya Pawar,4597,,
"(u'Ameya Pawar',)","(45,)",Ameya Pawar,5037,,
"(u'Ameya Pawar',)","(45,)",Ameya Pawar,5038,,
"(u'Anthony Beale',)","(17,)",,,Anthony Beale,14117
"(u'Anthony Beale',)","(17,)",,,Anthony Beale,14783
"(u'Anthony Beale',)","(17,)",,,Anthony A Beale,26614
"(u'Ariel E Reboyras',)","(29,)",,,Ariel E Reboyras,17895
"(u'Ariel E Reboyras',)","(29,)",,,Ariel E Reboyras,22242
"(u'Ariel E Reboyras',)","(29,)",Ariel E Reboyras,3409,,
"(u'Ariel E Reboyras',)","(29,)",Ariel E Reboyras,3658,,
"(u'Bob Fioretti',)","(44,)",,,Bob Fioretti,22392
"(u'Bob Fioretti',)","(44,)",,,Bob Fioretti,25571
"(u'Brendan Reilly',)","(32,)",,,Brendan Reilly,20516
"(u'Brendan Reilly',)","(32,)",,,Brendan Reilly,22276
"(u'Brendan Reilly',)","(32,)",Brendan Reilly,3746,,
"(u'Brendan Reilly',)","(32,)",Brendan Reilly,5158,,
"(u'Brendan Reilly',)","(32,)",Brendan Reilly,5384,,
"(u'Carrie M Austin',)","(11,)",,,Carrie M Austin,9448
"(u'Carrie M Austin',)","(11,)",,,Carrie M Austin,10472
"(u'Carrie M Austin',)","(11,)",,,Carrie Austin,17575
"(u'Carrie M Austin',)","(11,)",Carrie Austin,83,,
"(u'Daniel S Solis',)","(12,)",,,Daniel S Solis,10981
"(u'Daniel S Solis',)","(12,)",,,Daniel S Solis,14815
"(u'Daniel S Solis',)","(12,)",Daniel Solis,2441,,
"(u'Daniel S Solis',)","(12,)",Daniel Solis,3109,,
"(u'Deb Mell',)","(40,)",,,Deb Mell,21906
"(u'Deborah L Graham',)","(25,)",,,Deborah L Graham,17271
"(u'Deborah L Graham',)","(25,)",,,Deborah L Graham,24898
"(u'Deborah L Graham',)","(25,)",Deborah L Graham,3247,,
